stamp,x,y,z,qx,qy,qz,qw
1.788340675249649525e+09,5.768734029093400828e-01,3.065383698088333553e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.685448528589807732e-02,9.989017255008589835e-01
1.788340675349640846e+09,4.680426881872839506e-01,3.047761822524498232e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.414416091952511750e-02,9.990251713829393365e-01
1.788340675449687719e+09,3.822395195707237736e-01,3.028849008292048506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.069007752859654853e-02,9.987144316771161545e-01
1.788340675549762726e+09,3.344764102684880114e-01,3.019032844288124462e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.024884252936150986e-02,9.981833884481710051e-01
1.788340675649791956e+09,3.160943969459523717e-01,3.017296737722885425e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.282090023970286263e-02,9.973450338214349120e-01
1.788340675749998331e+09,3.070288334803514818e-01,3.021206905592924041e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.660636384762466167e-02,9.970614148677328092e-01
1.788340675849773645e+09,3.081272250802824519e-01,3.023211065447796386e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.193946706354013843e-02,9.974089998985441463e-01
1.788340675949722290e+09,3.077279953535742574e-01,3.023358064586103566e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.128308411371396536e-02,9.974561253104003988e-01
1.788340676049696445e+09,3.067528185377886851e-01,3.023215624941935520e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.228628279177655436e-02,9.973839247351778958e-01
1.788340676149784327e+09,3.045550414670615824e-01,3.025339720845127367e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.771437972204880085e-02,9.977047472969436948e-01
1.788340676249713421e+09,2.978249772681854091e-01,3.037593134697680330e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.930800366496339987e-02,9.987836205978629645e-01
1.788340676349808455e+09,2.979495568637146596e-01,3.037322133248881340e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.924382133307306231e-02,9.987867870874727050e-01
1.788340676449765682e+09,2.517905880505444949e-01,3.072460887530382490e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.396425108620159575e-03,9.999854391920148799e-01
1.788340676549766064e+09,2.554058164152374633e-01,3.064398533250428880e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.968726510872347967e-03,9.999980620560848799e-01
1.788340676649996042e+09,2.690720241281597258e-01,3.054220185241164121e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.681074213804318457e-02,9.998586894900539646e-01
1.788340676749767542e+09,2.701015255795501391e-01,3.055202669491793088e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.672088102793649680e-02,9.998601962962871958e-01
1.788340676849759340e+09,2.774591542867140825e-01,3.059840801488006967e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.060771465385580287e-02,9.981616627202413161e-01
1.788340676949769974e+09,2.757923481448588121e-01,3.061341462777939615e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.226455084695570186e-02,9.980596804339042505e-01
1.788340677049758673e+09,2.250791912186647648e-01,3.102251892530324628e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.032299136790429950e-01,9.946575214222318495e-01
1.788340677149739504e+09,2.264420741111670687e-01,3.074046218297327382e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.135022645763872629e-01,9.935377375500297203e-01
